what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1517471538224
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1517471540628
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1517471544628
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517471593881
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517471636351
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517471652274
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517471654540
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1517471777749
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1517471778984
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517471780937
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517471976128
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517471987373
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517472061002
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517472068065
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517472931495
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1517472934653
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517472937734
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517472949876
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1517472950017
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1517472950064
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1517472953738
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1517472961494
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1517472961697
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1517472963575
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1517472967342
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1517472988281
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1517473081413
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1517473086147
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1517473120665
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1517473144855
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1517473182379
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1517473188505
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1517473242507
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1517473247570
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1517473253101
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1517473266227
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517473289669
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517473295290
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1517473301663
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517473302491
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517473306527
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1517473309403
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1517473314965
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1517473319807
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517473327259
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1517473334150
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1517473361158
